GENUS,SPECIES,B0,B1
Pinus,lambertiana,-2.5356,2.4349
Sideroxylon,lanuginosum,-2.48,2.4835
Larix,laricina,-2.0336,2.2592
Gordonia,lasianthus,-2.48,2.4835
Abies,lasiocarpa,-2.5384,2.4814
Abies,lasiocarpa,-2.5384,2.4814
Fraxinus,latifolia,-2.48,2.4835
Lysiloma,latisiliquum,-2.48,2.4835
Quercus,laurifolia,-2.0127,2.4342
Chamaecyparis,lawsoniana,-2.0336,2.2592
Cercocarpus,ledifolius,-0.7152,1.7029
Pinus,leiophylla,-2.5356,2.4349
Betula,lenta,-1.9123,2.3651
Casuarina,lepidophloia,-2.48,2.4835
Acer,leucoderme,-2.48,2.4835
Quercus,lobata,-2.0127,2.4342
Pinus,longaeva,-2.5356,2.4349
Larix,lyallii,-2.0336,2.2592
Quercus,lyrata,-2.0127,2.4342
Cupressus,macnabiana,-2.0336,2.2592
Cupressus,macrocarpa,-2.0336,2.2592
Pseudotsuga,macrocarpa,-2.2304,2.4435
Quercus,macrocarpa,-2.0127,2.4342
Magnolia,macrophylla,-2.48,2.4835
Acer,macrophyllum,-1.9123,2.3651
Abies,magnifica,-2.5384,2.4814
Swietenia,mahagoni,-2.48,2.4835
Prunus,mahaleb,-2.48,2.4835
Juglans,major,-2.48,2.4835
Hippomane,mancinella,-2.48,2.4835
Rhizophora,mangle,-2.48,2.4835
Quercus,margarettiae,-2.0127,2.4342
Picea,mariana,-2.0773,2.3323
Quercus,marilandica,-2.0127,2.4342
Arbutus,menziesii,-2.48,2.4835
Pseudotsuga,menziesii,-2.2304,2.4435
Tsuga,mertensiana,-2.5384,2.4814
Sabal,mexicana,-2.48,2.4835
Quercus,michauxii,-2.0127,2.4342
Juglans,microcarpa,-2.48,2.4835
Morus,microphylla,-2.48,2.4835
Quercus,minima,-2.0127,2.4342
Crataegus,mollis,-2.48,2.4835
Castanea,mollissima,-2.48,2.4835
Crataegus,monogyna,-2.48,2.4835
Pinus,monophylla,-0.7152,1.7029
Pinus,monophylla,-0.7152,1.7029
Juniperus,monosperma,-0.7152,1.7029
Pinus,monticola,-2.5356,2.4349
Thrinax,morrisii,-2.48,2.4835
Taxodium,mucronatum,-2.0336,2.2592
Quercus,muehlenbergii,-2.0127,2.4342
Pinus,muricata,-2.5356,2.4349
Carya,myristiciformis,-2.0127,2.4342
Acer,negundo,-1.9123,2.3651
Robinia,neomexicana,-0.7152,1.7029
Betula,nigra,-1.9123,2.3651
Fraxinus,nigra,-2.48,2.4835
Juglans,nigra,-2.48,2.4835
Morus,nigra,-2.48,2.4835
Pinus,nigra,-2.5356,2.4349
Populus,nigra,-2.2094,2.3867
Prunus,nigra,-2.48,2.4835
Quercus,nigra,-2.0127,2.4342
Salix,nigra,-2.2094,2.3867
Acer,nigrum,-2.0127,2.4342
Chamaecyparis,nootkatensis,-2.0336,2.2592
Family Arecaceae,not listed above,-2.48,2.4835
Cocos,nucifera,-2.48,2.4835
Cornus,nuttallii,-2.48,2.4835
Alnus,oblongifolia,-2.2094,2.3867
Quercus,oblongifolia,-0.7152,1.7029
Cotinus,obovatus,-2.48,2.4835
Betula,occidentalis,-1.9123,2.3651
Celtis,occidentalis,-2.48,2.4835
Juniperus,occidentalis,-2.0336,2.2592
Larix,occidentalis,-2.0336,2.2592
Platanus,occidentalis,-2.48,2.4835
Thuja,occidentalis,-2.0336,2.2592
Nyssa,ogeche,-2.48,2.4835
Quercus,oglethorpensis,-2.0127,2.4342
Ilex,opaca,-2.48,2.4835
Juniperus,osteosperma,-0.7152,1.7029
Carya,ovalis,-2.0127,2.4342
Carya,ovata,-2.0127,2.4342
Quercus,pagoda,-2.0127,2.4342
Carya,pallida,-2.0127,2.4342
Sabal,palmetto,-2.48,2.4835
Pinus,palustris,-2.5356,2.4349
Quercus,palustris,-2.0127,2.4342
Exothea,paniculata,-2.48,2.4835
Betula,papyrifera,-1.9123,2.3651
Halesia,parviflora,-2.48,2.4835
Aesculus,pavia,-2.48,2.4835
Crataegus,pedicellata,-2.48,2.4835
Fraxinus,pennsylvanica,-2.48,2.4835
Prunus,pensylvanica,-2.48,2.4835
Acer,pensylvanicum,-1.9123,2.3651
Prunus,persica,-2.48,2.4835
Crataegus,phaenopyrum,-2.48,2.4835
Quercus,phellos,-2.0127,2.4342
Juniperus,pinchotii,-0.7152,1.7029
Piscidia,piscipula,-2.48,2.4835
Acer,platanoides,-1.9123,2.3651
Thuja,plicata,-2.0336,2.2592
Quercus,polymorpha,-2.0127,2.4342
Maclura,pomifera,-2.48,2.4835
Pinus,ponderosa,-2.5356,2.4349
Betula,populifolia,-1.9123,2.3651
Quercus,prinoides,-2.0127,2.4342
Quercus,prinus,-2.0127,2.4342
Abies,procera,-2.5384,2.4814
